Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1,lstm,layers_1,mackey_1000,0,0.001,,8,4,1,64,1.3265977941046003e-05,1.4032522813067771e-05,0.002943007973954,0.0029836550820618,0.9998781681060792,0.999893069267273,361,1974,40.35,0.0067071557044982,0.0067225540988147,0.0057594482786953
1,lstm,layers_1,mackey_1000,0,0.001,,8,4,70,64,0.0332597643136978,0.0253884959965944,0.1400064975023269,0.1237126812338829,0.634917140007019,0.7959073185920715,361,1049,19.99,0.039564651540584,0.0332665480673313,0.0438482798635959
1,lstm,layers_1,mackey_1000,0,0.001,,8,4,140,64,0.0513597652316093,0.0642753764986991,0.1905606687068939,0.2082269638776779,0.1693952828645706,0.4128069579601288,361,410,7.65,0.0554716255929735,0.0652312710881233,0.0534494630992412
1,lstm,layers_1,mackey_1000,0,0.001,,8,8,1,64,3.61667298420798e-06,4.318690571381012e-06,0.0015314134070649,0.0017065772553905,0.999968647956848,0.9999669790267944,361,2566,55.68,0.0036173673113808,0.0036062188446521,0.0029574611689895
1,lstm,layers_1,mackey_1000,0,0.001,,8,8,70,64,0.0188372787088155,0.0184728614985942,0.1053131744265556,0.1100995242595672,0.8279401063919067,0.8524602651596069,361,1995,39.55,0.0320929564121696,0.0271090660244226,0.0385472699999809
1,lstm,layers_1,mackey_1000,0,0.001,,8,8,140,64,0.0378727838397026,0.0374918766319751,0.1609797775745391,0.1625656485557556,0.5299991965293884,0.6672816872596741,361,655,11.82,0.0569257759489119,0.0623530782759189,0.0514023602008819
1,lstm,layers_1,mackey_1000,0,0.001,,8,16,1,64,1.3269535656945664e-06,1.691172769824334e-06,0.0008766785613261,0.0009945650817826,0.9999873638153076,0.999987244606018,361,2439,59.73,0.0025097309611737,0.0027901355642825,0.002306084614247
1,lstm,layers_1,mackey_1000,0,0.001,,8,16,70,64,0.0136099252849817,0.0098094278946518,0.0810725539922714,0.0714375004172325,0.8647095561027527,0.923140823841095,361,1174,26.31,0.027353602151076,0.0262146648019552,0.0350464284420013
1,lstm,layers_1,mackey_1000,0,0.001,,8,16,140,64,0.0326686687767505,0.0178993940353393,0.1456071585416793,0.1127773150801658,0.6431529521942139,0.8573706150054932,361,1813,36.57,0.0543126794509589,0.0566191598773002,0.047333974391222
1,lstm,layers_2,mackey_1000,0,0.001,,8,4,1,64,4.92428989673499e-06,5.678572051692754e-06,0.0016717020189389,0.0018249733839184,0.9999596476554872,0.999956488609314,937,1399,42.36,0.0039338843664154,0.0038956808857619,0.0033536136616021
1,lstm,layers_2,mackey_1000,0,0.001,,8,4,70,64,0.0341830551624298,0.0251874942332506,0.1430863142013549,0.1231578215956687,0.6203539967536926,0.8015899658203125,937,685,18.59,0.0360838408685392,0.03078343719244,0.0405772253870964
1,lstm,layers_2,mackey_1000,0,0.001,,8,4,140,64,0.0345741361379623,0.0420019999146461,0.1455914080142974,0.1619399189949035,0.5805954337120056,0.6262686252593994,937,724,19.52,0.055549047059483,0.0653974562883377,0.0529462173581123
1,lstm,layers_2,mackey_1000,0,0.001,,8,8,1,64,4.224748408887535e-06,5.497759048012085e-06,0.0016350767109543,0.0018389349570497,0.9999647736549376,0.999958336353302,937,1269,41.35,0.0012495337054133,0.0013086332473903,0.000986760831438
1,lstm,layers_2,mackey_1000,0,0.001,,8,8,70,64,0.0340649336576461,0.0228643901646137,0.1405390352010727,0.1188721135258674,0.6312344074249268,0.8187813758850098,937,675,20.02,0.0305550110836823,0.0265535712242126,0.0358935818076133
1,lstm,layers_2,mackey_1000,0,0.001,,8,8,140,64,0.0197008643299341,0.023895101621747,0.1142327189445495,0.1259800344705581,0.7955948114395142,0.8003701567649841,937,1576,42.19,0.0380096500739455,0.041564866900444,0.0363916046917438
1,lstm,layers_2,mackey_1000,0,0.001,,8,16,1,64,2.1978080440021586e-06,3.0559444894606717e-06,0.0011888857698068,0.0013291953364387,0.9999788999557496,0.9999765157699584,937,1240,45.96,0.0011896800715476,0.0012788834283128,0.0010441753547638
1,lstm,layers_2,mackey_1000,0,0.001,,8,16,70,64,0.0015639058547094,0.0020989621989428,0.029550502076745,0.0337791554629802,0.9857971668243408,0.9848499298095704,937,2241,75.21,0.0271236596422062,0.0262552946805953,0.0347538292407989
1,lstm,layers_2,mackey_1000,0,0.001,,8,16,140,64,0.0251172985881567,0.0170822907239198,0.1284853518009185,0.1030183285474777,0.7307301163673401,0.8617870807647705,937,875,27.75,0.0334102336782962,0.0344738215208053,0.0322551056742668
1,lstm,layers_3,mackey_1000,0,0.001,,8,4,1,64,8.592644917371217e-06,1.1735338375729045e-05,0.002288230927661,0.0026754750870168,0.99992173910141,0.9999119639396667,1513,1121,43.85,0.0058115883730351,0.0058003417216241,0.0048054829239845
1,lstm,layers_3,mackey_1000,0,0.001,,8,4,70,64,0.0382945016026496,0.0280415192246437,0.1391845792531967,0.1344676464796066,0.5565467476844788,0.7796245217323303,1513,443,15.8,0.0357170899709065,0.0298581644892692,0.0409590937197208
1,lstm,layers_3,mackey_1000,0,0.001,,8,4,140,64,0.0530993938446044,0.0652252361178398,0.1939081102609634,0.2097432315349578,-0.0642009675502777,0.2689811289310455,1513,527,18.62,0.0557056611610783,0.0660524070262909,0.0527013055980205
1,lstm,layers_3,mackey_1000,0,0.001,,8,8,1,64,3.570851959011634e-06,4.596030976244947e-06,0.0013900860212743,0.0017175315879285,0.999975323677063,0.9999653697013856,1513,1257,53.78,0.0018743266351521,0.0020998588297516,0.0014005722478032
1,lstm,layers_3,mackey_1000,0,0.001,,8,8,70,64,0.0346542969346046,0.0262214131653308,0.1445745229721069,0.1271963119506836,0.6170833706855774,0.7829272747039795,1513,426,16.84,0.0310356215470367,0.0271154046058654,0.0362095572054386
1,lstm,layers_3,mackey_1000,0,0.001,,8,8,140,64,0.0284053422510623,0.0329508148133754,0.133733257651329,0.1495868563652038,0.6734488606452942,0.7177993059158325,1513,799,28.53,0.0458081462420523,0.0481699332594871,0.0450601242482662
1,lstm,layers_3,mackey_1000,0,0.001,,8,16,1,64,1.1906540748896075e-06,2.086537733703153e-06,0.0008837328059598,0.0010617650113999,0.9999911785125732,0.9999846816062928,1513,1345,69.02,0.0022314422647468,0.002535288920626,0.0024444041773676
1,lstm,layers_3,mackey_1000,0,0.001,,8,16,70,64,0.0010552402818575,0.0016057678731158,0.0251446794718503,0.0310025718063116,0.9900044202804564,0.9881123304367064,1513,2132,98.93,0.0276269962390263,0.0270746778696775,0.0345750227570533
1,lstm,layers_3,mackey_1000,0,0.001,,8,16,140,64,0.0241461638361215,0.0188204143196344,0.1247255876660347,0.1112099960446357,0.7580548524856567,0.85655277967453,1513,728,30.62,0.0383975815493613,0.0436636954545974,0.0267368741333484
1,lstm,layers_1,mackey_1000,0,0.001,,16,4,1,64,1.0549422768235672e-05,1.1376004295016172e-05,0.002616788027808,0.0026885943952947,0.999901533126831,0.9999138712882996,1233,1386,29.78,0.0045164742274209,0.0044626900926232,0.0037976945750415
1,lstm,layers_1,mackey_1000,0,0.001,,16,4,70,64,0.0335427522659301,0.0254249647259712,0.1381150335073471,0.1268372684717178,0.6278247833251953,0.7981624603271484,1233,606,12.04,0.0390420419474442,0.0330355986952781,0.0432040654122829
1,lstm,layers_1,mackey_1000,0,0.001,,16,4,140,64,0.0342701189219951,0.0428448058664798,0.1460032314062118,0.1637278348207473,0.5855088233947754,0.613316535949707,1233,746,14.43,0.0554599480496512,0.0653790459036827,0.053085271269083
