Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1,mlp,relu_8,mackey_1000,0,0.001,,,4,1,64,1.666187381488271e-05,1.7355752788716927e-05,0.0033188918605446,0.003392985323444,0.9998371601104736,0.9998659491539,49,3816,44.3,0.0083492525387555,0.0084839332848787,0.0069841565564274
1,mlp,relu_8,mackey_1000,0,0.001,,,4,70,64,0.0393855050206184,0.0320217348635196,0.155678391456604,0.1373553574085235,0.5355477929115295,0.7420235276222229,49,611,6.52,0.0481893974873754,0.0513253770768642,0.044038463383913
1,mlp,relu_8,mackey_1000,0,0.001,,,4,140,64,0.0375189520418643,0.0496544130146503,0.1508989483118057,0.175263836979866,0.5429821014404297,0.5261356830596924,49,1541,16.3,0.0604467677573362,0.0660509392619133,0.061439573764801
1,mlp,relu_8,mackey_1000,0,0.001,,,8,1,64,1.9305050955154e-05,2.035163743130397e-05,0.0035461126826703,0.0036705031525343,0.999817669391632,0.9998458623886108,81,2113,24.73,0.0009551278955768,0.0009646443650126,0.0008236545254476
1,mlp,relu_8,mackey_1000,0,0.001,,,8,70,64,0.0281661879271268,0.0201822258532047,0.1368488669395446,0.1170477122068405,0.7036072611808777,0.8445769548416138,81,2192,22.96,0.0343892630189657,0.0318583026528358,0.0374691858887672
1,mlp,relu_8,mackey_1000,0,0.001,,,8,140,64,0.0380516275763511,0.03091979958117,0.159438207745552,0.1458860486745834,0.5448631048202515,0.7404636740684509,81,2726,26.46,0.0525262528099119,0.0537008941173553,0.0481209009885787
1,mlp,relu_8,mackey_1000,0,0.001,,,16,1,64,3.2010259019443765e-05,3.875382026308216e-05,0.0047014756128191,0.0052205743268132,0.9996917247772216,0.9997042417526244,145,2075,24.56,0.0019340004422701,0.002150657121092,0.0018240112112835
1,mlp,relu_8,mackey_1000,0,0.001,,,16,70,64,0.0319590270519256,0.0235311575233936,0.142363503575325,0.1232873499393463,0.6575280427932739,0.8103280663490295,145,2544,27.54,0.039479936990473,0.0373432673513889,0.0404758565127849
1,mlp,relu_8,mackey_1000,0,0.001,,,16,140,64,0.0312641859054565,0.048492182046175,0.1356464773416519,0.1720446795225143,0.6398588418960571,0.5054888129234314,145,619,5.84,0.0462952065281569,0.0487342737615108,0.030273787677288
1,mlp,relu_8_8,mackey_1000,0,0.001,,,4,1,64,1.3459180081554225e-05,1.4300168004410809e-05,0.0029777102172374,0.0030749975703656,0.9998685717582704,0.999890148639679,121,2329,33.54,0.0033334782347083,0.0035392236895859,0.002695923205465
1,mlp,relu_8_8,mackey_1000,0,0.001,,,4,70,64,0.0326269790530204,0.0245908144861459,0.1411888897418975,0.1233790218830108,0.6393830180168152,0.8064208626747131,121,1148,14.94,0.0408899179763264,0.0351750403642654,0.0441613048315048
1,mlp,relu_8_8,mackey_1000,0,0.001,,,4,140,64,0.0371397472918033,0.0406844206154346,0.1519898027181625,0.1610016226768493,0.5365993976593018,0.6467492580413818,121,2424,32.13,0.0530195054080751,0.0614726021885871,0.0518409721553325
1,mlp,relu_8_8,mackey_1000,0,0.001,,,8,1,64,1.7207066775881685e-05,1.971836172742769e-05,0.0033033667132258,0.0035852557048201,0.999841809272766,0.9998493194580078,153,2415,34.47,0.0010932369565125,0.0011398821370676,0.0009161503985524
1,mlp,relu_8_8,mackey_1000,0,0.001,,,8,70,64,0.0306321047246456,0.0254132691770792,0.1302767544984817,0.127344936132431,0.7084357142448425,0.7914854884147644,153,1111,14.37,0.0336418009052673,0.031016282737255,0.0379640385508537
1,mlp,relu_8_8,mackey_1000,0,0.001,,,8,140,64,0.0336336530745029,0.0394394621253013,0.1491765081882476,0.1615988314151764,0.6003568768501282,0.6549757122993469,153,979,12.24,0.0564945060759782,0.0588512532413005,0.0542133450508117
1,mlp,relu_8_8,mackey_1000,0,0.001,,,16,1,64,7.017282041488215e-05,7.531238225055858e-05,0.0069030518643558,0.0071303313598036,0.9993194937705994,0.9994191527366638,217,1533,23.08,0.0023514310480095,0.0026659732684493,0.0021197432652115
1,mlp,relu_8_8,mackey_1000,0,0.001,,,16,70,64,0.0360376611351966,0.0271450411528348,0.1485386043787002,0.1325713992118835,0.6197773814201355,0.7696684002876282,217,933,12.75,0.0301364519529872,0.0292860530316829,0.0351683534681797
1,mlp,relu_8_8,mackey_1000,0,0.001,,,16,140,64,0.0343015789985656,0.0470964647829532,0.1437945067882537,0.1681681126356125,0.5870360136032104,0.5203721523284912,217,413,5.32,0.0451896237209439,0.0482449270784854,0.0312142763286829
1,mlp,relu_8_8_8,mackey_1000,0,0.001,,,4,1,64,1.3582192877947818e-05,1.530786175862886e-05,0.002931852126494,0.0031230018939822,0.9998688101768494,0.9998826384544371,193,2491,43.32,0.0039191759657114,0.003970849327743,0.0033511624205857
1,mlp,relu_8_8_8,mackey_1000,0,0.001,,,4,70,64,0.0316367819905281,0.0240212827920913,0.1413564532995224,0.1257742345333099,0.6625444889068604,0.8043513298034668,193,741,12.45,0.0336986422124836,0.0291367061436176,0.0377609282732009
1,mlp,relu_8_8_8,mackey_1000,0,0.001,,,4,140,64,0.0386070162057876,0.0408592782914638,0.1511266082525253,0.162778839468956,0.5191115736961365,0.653083324432373,193,1235,19.45,0.0553565712438689,0.0631811469793319,0.0546640455722808
