Version,Model,Ansatz,Data,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,Num Parameters,MSE Testing Mean,MSE Testing Std,MSE Testing Min,MSE Testing Max,MSE Testing Median,MSE Testing Mad,MSE Validation Mean,MSE Validation Std,MSE Validation Min,MSE Validation Max,MSE Validation Median,MSE Validation Mad,MAE Testing Mean,MAE Testing Std,MAE Testing Min,MAE Testing Max,MAE Testing Median,MAE Testing Mad,MAE Validation Mean,MAE Validation Std,MAE Validation Min,MAE Validation Max,MAE Validation Median,MAE Validation Mad,Correlation Testing Mean,Correlation Testing Std,Correlation Testing Min,Correlation Testing Max,Correlation Testing Median,Correlation Testing Mad,Correlation Validation Mean,Correlation Validation Std,Correlation Validation Min,Correlation Validation Max,Correlation Validation Median,Correlation Validation Mad,Epochs to Convergance Mean,Epochs to Convergance Std,Epochs to Convergance Min,Epochs to Convergance Max,Epochs to Convergance Median,Epochs to Convergance Mad,Total Training Time Mean,Total Training Time Std,Total Training Time Min,Total Training Time Max,Total Training Time Median,Total Training Time Mad,Training Loss after 100 epochs Mean,Training Loss after 100 epochs Std,Training Loss after 100 epochs Min,Training Loss after 100 epochs Max,Training Loss after 100 epochs Median,Training Loss after 100 epochs Mad,Validation Loss after 100 epochs Mean,Validation Loss after 100 epochs Std,Validation Loss after 100 epochs Min,Validation Loss after 100 epochs Max,Validation Loss after 100 epochs Median,Validation Loss after 100 epochs Mad,Testing Loss after 100 epochs Mean,Testing Loss after 100 epochs Std,Testing Loss after 100 epochs Min,Testing Loss after 100 epochs Max,Testing Loss after 100 epochs Median,Testing Loss after 100 epochs Mad
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,8.0,4.0,1.0,64.0,380.0,4.278940739115771e-06,2.2596341866122503e-06,1.4482554888672894e-06,7.63484240451362e-06,3.64708785127732e-06,1.7632950175539013e-06,4.1307385648300015e-06,2.1421727899406804e-06,1.431073769708746e-06,7.4206391218467616e-06,3.47826039615029e-06,1.6934598079387797e-06,0.0015289029688573888,0.00042953761110819456,0.0009219976491294,0.0021964388433843,0.0013916158350184,0.00036518019624060005,0.0015180340528280667,0.00042610432627216425,0.0009234738536179,0.0022384710609912,0.0013708322076126,0.00038828852120789984,0.999973734219869,1.3880817128869403e-05,0.9999532103538512,0.9999912977218628,0.9999773502349854,1.1086463928222656e-05,0.9999743633800082,1.320357450010042e-05,0.9999535083770752,0.9999911785125732,0.999978482723236,1.0132789612038451e-05,2002.6666666666667,216.5692088507095,1707.0,2402.0,1996.0,168.0,6999.555555555556,1892.8771598173041,5110.07,10995.14,6262.81,760.75,0.027306935687859787,0.005155586494145231,0.0175727089866995,0.0342885976657271,0.0281572731211781,0.0030623868107796,0.025771387335326867,0.0047174715146438605,0.0167223066091537,0.0325029380619525,0.026167994365096,0.0026768352836369982,0.026856024232175556,0.00491887729600664,0.0175852812826633,0.0335759595036506,0.0275329984724521,0.002547450363636003
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,16.0,4.0,1.0,64.0,668.0,4.72040155727882e-06,2.4162925735979774e-06,1.1079716841777554e-06,8.837817404128145e-06,5.045367743150564e-06,1.5314669781218981e-06,4.3940657178609396e-06,2.2557337865253707e-06,1.068780306923145e-06,8.456445357296616e-06,4.459436922843452e-06,1.7783020211936673e-06,0.00155789606506,0.0004778995163150564,0.0008297965978272,0.0022656619548797,0.00163972273003305,0.00035210239002479997,0.00153790756594385,0.00047194026560518434,0.0008099781698547,0.0022783612366765,0.00159941829042505,0.00037346821045505004,0.9999709963798523,1.4869613631013917e-05,0.9999460577964784,0.999993622303009,0.9999689161777496,9.387731552013001e-06,0.9999727487564087,1.4165474901414213e-05,0.999947190284729,0.999993860721588,0.9999724328517914,1.1354684829711914e-05,1519.9,204.21775143214165,1200.0,1895.0,1514.5,135.5,5897.227000000001,1854.1562102533326,3561.03,8441.9,5129.795,1461.075,0.01907031566370274,0.006220625819714786,0.009152039187029,0.0343228185549378,0.0189479100517928,0.00263422909192745,0.01816103029996151,0.006158937386216329,0.0086375530809164,0.0335031189024448,0.0177098866552114,0.0028716446831822014,0.01942870654165741,0.006105875958450399,0.0095146177336573,0.0341988243162632,0.01921591535210605,0.0028340937569737504
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,32.0,4.0,1.0,64.0,1244.0,4.355016494628217e-06,1.3583606562692565e-06,1.9844123926304742e-06,5.793839591206051e-06,4.845063585889875e-06,7.233741143863881e-07,3.998257670900784e-06,1.2237207992160796e-06,1.896235744425212e-06,5.500371116795577e-06,4.3142724734934745e-06,8.558756690035807e-07,0.0015227854019030402,0.0002907753646661451,0.0010155405616387,0.0018670902354642,0.00160123052773995,0.00023082952247935004,0.0014873044914565502,0.0002655180024593764,0.001013028435409,0.0018028335180133,0.00158427131827915,0.00019763287855315004,0.999973326921463,8.368214051755247e-06,0.9999641180038452,0.9999877214431764,0.9999706745147704,4.88758087152652e-06,0.9999751567840576,7.640552929011398e-06,0.9999656677246094,0.9999880790710448,0.9999734461307526,5.692243575938782e-06,1304.7,190.7642786267911,1081.0,1724.0,1303.0,149.0,4304.175000000001,1666.1320524811354,3167.31,9175.93,3837.08,335.82000000000016,0.00950978304259473,0.003133845175803802,0.0056662942748516,0.0148579914122819,0.00890538005623965,0.002407968370243949,0.00918601560406382,0.0029452775849714186,0.0054709748364984,0.0140762804076075,0.008604999165981949,0.002211124170571549,0.01015788163058453,0.003311308631339816,0.0058937487192451,0.0155924446880817,0.0095092584379017,0.0024024774320424006
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,8.0,8.0,1.0,64.0,380.0,4.777231112029767e-06,3.2869959042522625e-06,1.7927070530276978e-06,1.0569821824901736e-05,3.3685658991089444e-06,9.680169341663714e-07,4.358599014153697e-06,2.7550796829202114e-06,1.8413994666843791e-06,9.137920642388052e-06,3.033019538634107e-06,9.401165357303394e-07,0.0015933034737826623,0.0005456044552583321,0.0010072083678096,0.0025349827483296,0.0014264481724239001,0.0002777888439595501,0.001536188050522425,0.00048550143324011593,0.001029702485539,0.0023585148155689,0.001333936699666,0.00024828565074125006,0.999970979988575,1.971586231115785e-05,0.999934732913971,0.9999892711639404,0.9999794363975524,5.99026680003778e-06,0.9999732971191406,1.6722422752986643e-05,0.99994295835495,0.9999889135360718,0.9999812245368958,6.16908073425293e-06,1868.0,122.86781515108015,1627.0,2063.0,1910.0,66.0,13545.26125,3717.6098067657576,9985.86,20311.46,11892.3,753.5100000000002,0.0335213671671226,0.00536902345119431,0.028384905681014,0.0458152148872613,0.0316515344195067,0.002278652694076299,0.03193020168691869,0.004820188293044695,0.0268613714724779,0.0427068024873733,0.03058707620948545,0.0018025850877165517,0.033010028069838854,0.004672456012648976,0.0280491579324007,0.0436069034039974,0.0317408591508865,0.001801509410142902
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,16.0,8.0,1.0,64.0,668.0,3.883943065829953e-06,2.0321951332235877e-06,1.11176370864996e-06,7.175678547355346e-06,3.5896257486456307e-06,2.110367631757981e-06,3.662493398337574e-06,1.8870138680006035e-06,1.0532093028814415e-06,6.6771681304089725e-06,3.3781986985559342e-06,1.8937147387987352e-06,0.001454881865356525,0.0004199270535273454,0.0008028037264011,0.002054821467027,0.0014788463013246,0.0003469780203886499,0.0014211891757440127,0.0003949876366917355,0.0007938237395137,0.0019565969705581,0.00145030079875135,0.00033758353674784997,0.9999767616391182,1.2336593417569735e-05,0.9999555945396424,0.999993085861206,0.9999786913394928,1.2099742889404297e-05,0.9999776557087898,1.1691646594203605e-05,0.9999582767486572,0.9999934434890748,0.9999797642230988,1.1026859283391754e-05,1491.25,158.07257035931312,1275.0,1724.0,1477.5,119.5,10966.02125,4281.387546288112,7640.27,18550.0,8989.49,876.0499999999997,0.019219282956328188,0.007612997305056357,0.0070394929498434,0.0278972355648875,0.0200227329973131,0.007395902089774599,0.018312596599571365,0.007173924676241963,0.0073973517864942,0.0266095791012048,0.01896856818348165,0.007073087617754948,0.019421681470703275,0.007429176250464383,0.0077327736653387,0.0279285050928592,0.0204230863600969,0.00703217554837465
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,32.0,8.0,1.0,64.0,1244.0,3.5292095693269707e-06,1.1004214254378425e-06,1.6534937685719342e-06,5.188313025428215e-06,3.6993794765294297e-06,4.130768047616584e-07,3.379600987803618e-06,1.0754118229736265e-06,1.6815450862850412e-06,4.938529400533298e-06,3.42233420269622e-06,2.5280587578890803e-07,0.0014343333508198002,0.00024566895664699615,0.0009789682226255,0.0018125023925676,0.001448804163374,7.474643643939991e-05,0.0014251350011262,0.0002565449254814576,0.0009938613511621,0.0018438391853123,0.0014245994389057,0.00011525512672960021,0.9999783568912082,6.81867436188636e-06,0.999968409538269,0.999990165233612,0.9999772310256958,2.9206275939941406e-06,0.9999791714880202,6.744146144703871e-06,0.9999695420265198,0.9999902248382568,0.9999790191650392,1.9073486329235223e-06,1244.0,66.01346663960148,1130.0,1341.0,1232.0,40.0,8826.501111111113,1884.4269421376678,7301.66,13463.58,8058.8,612.8299999999999,0.013451895166912788,0.008222701020480509,0.0035729420371353,0.0256969099864363,0.0123461664654314,0.007827676180750101,0.012829337217327567,0.007642106263830293,0.003529735840857,0.0242164470255374,0.0116525888442993,0.007413518615067001,0.013627312611788444,0.00815192904923892,0.0035845898091793,0.0257038418203592,0.0126865664497017,0.0078191263601184
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,8.0,16.0,1.0,64.0,380.0,3.484402043341106e-06,2.055855651704063e-06,5.65378741157474e-07,7.99873760115588e-06,3.7726990740338806e-06,3.780560291488655e-07,3.2907966998310358e-06,1.967799512143607e-06,5.082745815343515e-07,7.509756869694684e-06,3.4348761346336687e-06,5.945405519014457e-07,0.0013547880678540444,0.0004577241449399627,0.000571644923184,0.0022198585793375,0.0014435542980208,0.00010559463407850008,0.0013209194940928333,0.000450394958057758,0.0005527782486751,0.002151719527319,0.0014198139542713,0.0001028532860800999,0.9999786880281236,1.2736443549780641e-05,0.999950349330902,0.999996542930603,0.9999775886535645,2.920627594105163e-06,0.9999798668755425,1.224248958633624e-05,0.999953269958496,0.999997079372406,0.9999790787696838,3.874301910400391e-06,1810.4444444444443,208.0737642232309,1476.0,2163.0,1805.0,132.0,23486.967777777772,4507.942155610295,18388.01,34304.17,23494.71,2522.619999999999,0.03173475800496004,0.01246635727170267,0.0213332336395978,0.0648270849138498,0.0302545784041285,0.0041235778480767996,0.030796289237009118,0.012962094327412965,0.020261213183403,0.065261073410511,0.0282166879624128,0.005102520808577503,0.03187443978256643,0.012662598837220065,0.021751832216978,0.0657867193222045,0.0293666701763868,0.004593452438712099
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,16.0,16.0,1.0,64.0,668.0,4.1994356681445625e-06,2.6853154484248117e-06,8.36695107864216e-07,9.26025131775532e-06,2.8480542368924944e-06,2.0113591290282784e-06,3.885182227097377e-06,2.576443524661997e-06,7.244236144288152e-07,9.010469511849806e-06,2.460474661347689e-06,1.736051046918874e-06,0.001500386356686511,0.0005156464186786163,0.0006736014038324,0.0023227191995829,0.0013704750454053,0.00036833237390970015,0.0014481255461254443,0.0005079991245463541,0.0006490887026302,0.0023002629168331,0.0012495779665187,0.00043548981193450016,0.9999746812714471,1.623810080836894e-05,0.9999436736106871,0.9999948740005492,0.999983012676239,1.1861324310191712e-05,0.9999764098061455,1.5699605908706807e-05,0.9999447464942932,0.999995768070221,0.9999851584434508,1.0609626770130554e-05,1443.111111111111,153.01666172489877,1227.0,1661.0,1436.0,143.0,20470.93222222222,5138.603173543431,15088.26,30836.84,19584.13,2363.16,0.022636001029362224,0.008869359895841686,0.0140573274344205,0.0454205892980098,0.0206794422119855,0.0018520009703934005,0.021810870824588602,0.009573466982210697,0.0131145427003502,0.0466277711093425,0.0189217682927846,0.0027085989713668997,0.023020640119082357,0.009165804777685412,0.0144379772245883,0.0464141964912414,0.0203959476202726,0.002598918974399598
1.0,qlstm_linear_enhanced_paper,original_1,henon_1000,0.001,6.0,32.0,16.0,1.0,64.0,1244.0,3.0929796568873117e-06,1.9012408603788201e-06,1.086833890440175e-06,7.126985110517126e-06,2.27678106057283e-06,5.973751058263588e-07,2.9732481152677792e-06,1.781730036744438e-06,1.0113669759448385e-06,6.446795850933995e-06,2.370993115619058e-06,7.495268619095441e-07,0.0012899312617566999,0.0003669404900521203,0.0007881194469518,0.0019472429994493,0.0011758833425119,0.0001518661156296999,0.0012766993475249557,0.0003719772731709933,0.000788090575952,0.0019170854939147,0.0011814465979114,0.00014312053099270017,0.9999818073378669,1.1553355115343735e-05,0.9999564290046692,0.9999937415122986,0.9999874234199524,2.7418136595569464e-06,0.9999824033843147,1.0936862309187747e-05,0.9999606013298036,0.9999940395355223,0.9999870657920836,4.231929779163757e-06,1224.7777777777778,110.0573363476993,1087.0,1449.0,1172.0,85.0,17627.25222222222,4033.5157352661345,13879.37,25123.64,15795.18,1390.4700000000012,0.01549722015754212,0.007051077550534658,0.0060685208532959,0.0270057874731719,0.0138938074000179,0.005711722327396199,0.014743651470376345,0.006942691717414848,0.0055417930707335,0.0269987937062978,0.0135618261992931,0.0056879138574004,0.015820033382624336,0.007365924590548099,0.0057354136370122,0.0284277237951755,0.0149250449612736,0.006614048033952701
1.0,qlstm_linear_enhanced_paper,original_2,henon_1000,0.001,6.0,8.0,4.0,1.0,64.0,452.0,2.6032128711709187e-06,1.7124454246232309e-06,6.325184358502156e-07,6.295091225183569e-06,2.347938561797492e-06,8.620618245913639e-07,2.5589658077608746e-06,1.8385863502147926e-06,5.351489562599454e-07,6.607993327634176e-06,2.2837082269688835e-06,7.617463779752143e-07,0.0011904498928093,0.00042103957285622546,0.0005700756446458,0.0020147403702139,0.0011893028859049,0.00019462010823189995,0.0011629300840597715,0.00044534876091746666,0.0005447375006042,0.0020608443301171,0.0011543423170223,0.00022574147442349995,0.9999843920980181,1.0317603047059518e-05,0.9999620914459229,0.9999961256980896,0.9999855160713196,4.947185516357422e-06,0.9999843750681195,1.1235319856486442e-05,0.9999595284461976,0.9999967217445374,0.999985694885254,5.00679016102179e-06,1740.4285714285713,138.10333309607302,1534.0,1960.0,1800.0,151.0,8068.647142857143,1431.6109313807924,6597.01,11292.7,7939.28,284.3699999999999,0.023246545530855617,0.005091778361279676,0.0175656730309128,0.034512479417026,0.0224665062502026,0.0023365823552011986,0.021998803530420528,0.00473623286037913,0.0164583995938301,0.0323624685406684,0.0214250702410936,0.0021113734692335025,0.023266965523362132,0.004635062289454113,0.0179613996297121,0.0333356149494648,0.0227877777069807,0.0022124741226434985
