Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,4.0,1.0,64.0,5.760280600952683e-06,6.705039140797453e-06,0.0018767027650028,0.0021190193947404,0.9999476075172424,0.999948799610138,365.0,1173.0,3488.4,0.0012947629322297,0.001311996136792,0.0010919769993051
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,4.0,70.0,64.0,0.0343498885631561,0.0244822762906551,0.1426380425691604,0.1214508488774299,0.6177369356155396,0.8087579011917114,365.0,991.0,2648.73,0.0346597524152861,0.0301160085946321,0.0393675416707992
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,4.0,140.0,64.0,0.052154179662466,0.0671749636530876,0.1943636387586593,0.2132916301488876,-0.0944397076964378,0.2389180362224578,365.0,412.0,1106.03,0.0560464192595746,0.0672301948070526,0.0522384084761142
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,8.0,1.0,64.0,3.4520746794441948e-06,4.552088284981437e-06,0.0013574452605098,0.0017069283640012,0.9999683499336244,0.9999648928642272,365.0,2072.0,12794.82,0.0013424107106402,0.0013705808669328,0.001109090168029
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,8.0,70.0,64.0,0.0321461483836174,0.0236906297504901,0.1394223719835281,0.1261916607618332,0.6437142491340637,0.8123893141746521,365.0,1453.0,8110.69,0.03759348185526,0.0316215716302394,0.0447784923017025
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,8.0,140.0,64.0,0.0333618260920047,0.0405596308410167,0.1475017517805099,0.1668388396501541,0.5956006050109863,0.6279913187026978,365.0,1298.0,6497.71,0.0585096133872866,0.0658627599477768,0.0527562834322452
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,16.0,1.0,64.0,4.680535312218126e-06,4.70107761429972e-06,0.0016953179147094,0.0016798309516161,0.9999555349349976,0.9999642968177797,365.0,1295.0,16434.84,0.0017090253648348,0.0018677776679396,0.0014920234680175
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,16.0,70.0,64.0,0.0168498717248439,0.0130335856229066,0.1057718098163604,0.0925131514668464,0.8326202034950256,0.8999353051185608,365.0,1634.0,19109.93,0.0266734394762251,0.025585614144802,0.0348198786377906
1.0,qlstm_linear_enhanced_paper,original_1,mackey_1000,0.0,0.001,6.0,8.0,16.0,140.0,64.0,0.02798867598176,0.0179239809513092,0.1408958584070205,0.1118869557976722,0.6965669989585876,0.8559203743934631,365.0,1625.0,16732.99,0.058827927801758,0.0636408030986785,0.0537621863186359
1.0,qlstm_linear_enhanced_paper,original_2,mackey_1000,0.0,0.001,6.0,8.0,4.0,1.0,64.0,4.155582246312406e-06,6.393153853423428e-06,0.0016087527619674,0.0020455864723771,0.9999606609344482,0.999952793121338,437.0,1357.0,5783.03,0.0014613908715546,0.0014902525581419,0.0011876018252223
1.0,qlstm_linear_enhanced_paper,original_2,mackey_1000,0.0,0.001,6.0,8.0,4.0,70.0,64.0,0.0336144268512725,0.0244664195924997,0.1363342106342315,0.120826669037342,0.6268172860145569,0.8107565641403198,437.0,740.0,2877.11,0.0387661804755528,0.0330727510154247,0.0437286533415317
1.0,qlstm_linear_enhanced_paper,original_2,mackey_1000,0.0,0.001,6.0,8.0,4.0,140.0,64.0,0.0522606335580349,0.0670143663883209,0.1942928880453109,0.2129094153642654,-0.0835920572280883,0.2406456470489502,437.0,414.0,1590.07,0.0559845268726348,0.0670401602983474,0.0524849891662597
