Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,0.0013712509535253,0.0016799382865428,0.0304305292665958,0.0340040251612663,0.9866426587104796,0.987082302570343,77.0,7808.0,16468.44,0.039552928507328,0.0415270440280437,0.0324284508824348
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0446225591003894,0.0362187065184116,0.1598904579877853,0.1523500829935073,0.4431439042091369,0.7063347697257996,77.0,3211.0,6419.24,0.0595197416841983,0.0661013051867485,0.0528520606458187
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0522213093936443,0.0672417283058166,0.1943981498479843,0.2132292687892913,-0.2527077794075012,0.0669728219509124,77.0,451.0,914.37,0.0558828016122182,0.0672550946474075,0.0524253845214843
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,0.0021580085158348,0.0026596495881676,0.0386500693857669,0.0438906587660312,0.9788771867752076,0.9794213771820068,77.0,4044.0,18019.59,0.0398100167512893,0.0408324971795082,0.0320152528584003
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0445001348853111,0.0349605493247509,0.1576613187789917,0.1495328843593597,0.4538790881633758,0.7143412828445435,77.0,2070.0,8367.58,0.0552621558308601,0.0602972358465194,0.0498035475611686
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0379969738423824,0.0413702949881553,0.1589106917381286,0.1657391339540481,0.516483724117279,0.6299147605895996,77.0,6960.0,24975.81,0.0585181061178445,0.0660419985651969,0.0525384880602359
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,0.0015344102866947,0.0018471486400812,0.0324330292642116,0.0357172079384326,0.9851073026657104,0.9857823252677916,77.0,6583.0,59855.13,0.0489392478018999,0.0513748899102211,0.0404626280069351
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.0410011895000934,0.0296094268560409,0.1594694107770919,0.1334258466958999,0.5141510367393494,0.765745222568512,77.0,3291.0,27165.31,0.0537055863274468,0.0567085929214954,0.0481177791953086
1.0,qlstm_paper,original_1,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0540456436574459,0.0626437216997146,0.1973672658205032,0.2041541486978531,-0.0968885719776153,0.2162430882453918,77.0,2360.0,17381.66,0.0591354509815573,0.0646115690469741,0.0531849041581153
1.0,qlstm_paper,original_2,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,9.040426084538922e-05,0.0001077885390259,0.0078585725277662,0.0086237015202641,0.9991222620010376,0.999175786972046,149.0,2475.0,7537.39,0.005650224443525,0.0061291209422051,0.0046419245190918
1.0,qlstm_paper,original_2,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0375038534402847,0.0300859380513429,0.1445547640323639,0.1364725977182388,0.5856185555458069,0.752899706363678,149.0,1768.0,4927.51,0.0596292689442634,0.0662425309419632,0.0528646633028984
1.0,qlstm_paper,original_2,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0554226115345954,0.0659832805395126,0.1978850215673446,0.2113249897956848,-0.2159265577793121,0.143307089805603,149.0,427.0,1234.4,0.0565080336398548,0.0660858452320098,0.0548988617956638
1.0,qlstm_paper,original_2,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,8.738959877518937e-05,0.000108501415525,0.0075332331471145,0.0084855733439326,0.9991633296012878,0.9991750717163086,149.0,3262.0,20033.91,0.0067414927762001,0.0071378457359969,0.0054500214755535
1.0,qlstm_paper,original_2,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0339648984372615,0.0255905725061893,0.1355783492326736,0.1317676156759262,0.624103307723999,0.7921123504638672,149.0,1606.0,9251.08,0.0553660860492123,0.0604698695242404,0.0497023239731788
