Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,1.927387893374544e-05,2.698000753298402e-05,0.0034249571617692,0.0039666020311415,0.999847412109375,0.9997929930686952,53.0,2409.0,1004.81,0.0021082532010041,0.0022565224207937,0.0017558725085109
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0317081212997436,0.0250089783221483,0.1380722671747207,0.1241304352879524,0.6617131233215332,0.7968078255653381,53.0,2655.0,1004.92,0.0360575695004728,0.0323593281209468,0.0395913161337375
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0385524779558181,0.043733149766922,0.1571027189493179,0.1680831909179687,0.505413293838501,0.6020272374153137,53.0,890.0,333.29,0.0479506752971145,0.0571037642657756,0.0450704284012317
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,1.47437467603595e-05,1.6265406884485856e-05,0.0031262678094208,0.0033416145015507,0.9998586773872375,0.9998803734779358,101.0,1833.0,1513.39,0.0003827212465694,0.0004051246796734,0.0002811456797644
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0173561554402112,0.0178920365869998,0.1061644256114959,0.1101770848035812,0.8270251154899597,0.8551939725875854,101.0,1953.0,1472.26,0.0292506466309229,0.0263760033994913,0.0346014276146888
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0314534716308116,0.0250173434615135,0.1429771035909652,0.1236756518483161,0.6426491141319275,0.8032856583595276,101.0,2026.0,1367.65,0.0396012947894632,0.0399863459169864,0.0372760407626628
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,1.1141341929032931e-05,1.2889329809695482e-05,0.0024787487927824,0.0026964794378727,0.9998933672904968,0.999903678894043,197.0,1486.0,2451.33,0.0016409779665991,0.0023253378458321,0.0011817975901067
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.003434456186369,0.0030619602184742,0.0483060739934444,0.0454124026000499,0.9748852849006652,0.976862132549286,197.0,2574.0,3914.19,0.020965003925893,0.02141316793859,0.0288838502019643
1.0,vqc,ruexp_EXX_EXZ_CX_Y_EXX_CY,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0334104038774967,0.0221638418734073,0.1470461338758468,0.1199554726481437,0.6287955045700073,0.8295911550521851,197.0,598.0,833.1,0.0291789271868765,0.0279163215309381,0.0347744859755039
1.0,vqc,ruexp_Y_EXZ_CX,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,8.714231626072433e-06,9.503043656877708e-06,0.0022802937310189,0.002439476782456,0.9999218583106996,0.999927282333374,37.0,2639.0,573.49,0.0104295782744884,0.01115626655519,0.008941133506596
