Version,Model,Ansatz,Data,Random ID,Learning Rate,Number Qubits,Hidden Size,Sequence Length,Prediction Step,Batch Size,MSE Testing,MSE Validation,MAE Testing,MAE Validation,Correlation Testing,Correlation Validation,Num Parameters,Epochs to Convergance,Total Training Time,Training Loss after 100 epochs,Validation Loss after 100 epochs,Testing Loss after 100 epochs
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,2.8068232495570555e-05,3.349390681250952e-05,0.0039091641083359,0.0044675734825432,0.9997488260269164,0.9997438788414,53.0,3525.0,948.49,0.001491315534804,0.0024171797558665,0.0010282532311975
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0244657713919878,0.019342890009284,0.1192382350564003,0.1062100380659103,0.7497472763061523,0.8452590703964233,53.0,2058.0,495.98,0.0251273852255609,0.0255149845033884,0.031536653637886
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0273487344384193,0.0357507728040218,0.1328848004341125,0.1482121497392654,0.6870368123054504,0.6860113143920898,53.0,1221.0,295.37,0.0364422823509408,0.0428537838160991,0.0376596413552761
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,6.0480204410851e-05,3.994172584498301e-05,0.0056656040251255,0.0049266410060226,0.9994208216667176,0.9996933341026306,101.0,2118.0,1115.92,0.0009648541454225,0.0016053047729656,0.0010649225441738
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0076734796166419,0.00748359458521,0.0727080702781677,0.0694251582026481,0.9316670894622804,0.941841959953308,101.0,2772.0,1342.42,0.0155396166568001,0.0194837767630815,0.0206585843116045
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0163263827562332,0.0279746614396572,0.1042753979563713,0.1330569982528686,0.8361123204231262,0.7595958709716797,101.0,410.0,174.92,0.0222080345265567,0.0287969820201396,0.0226529520004987
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,0.0003844561579171,0.0001736181729938,0.011253691278398,0.0094935437664389,0.9963327646255492,0.9986785650253296,197.0,6472.0,7111.29,0.0032289880560711,0.0101194754242897,0.0073602562770247
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.0003051888488698,0.0009395572124049,0.0139528065919876,0.0232714023441076,0.9971587657928468,0.9929677844047546,197.0,5293.0,5237.3,0.0059211435727775,0.0138877509161829,0.0112529415637254
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0070884861052036,0.0217605289071798,0.0691180005669593,0.1077860668301582,0.9353048205375672,0.8141254186630249,197.0,954.0,854.86,0.0136737923603504,0.0372304208576679,0.0220654383301734
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,1.615412656974513e-05,1.613811582501512e-05,0.0031046005897223,0.0031579164788126,0.9998549222946168,0.9998763203620912,101.0,1498.0,700.14,0.0004093257899512,0.0006996357114985,0.0003296089707873
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0238725319504737,0.0195829514414072,0.1196004673838615,0.108929842710495,0.7589316964149475,0.8424798250198364,101.0,1557.0,672.43,0.0234052578194273,0.0246094465255737,0.0295854080468416
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0295167826116085,0.0345561504364013,0.1359341442584991,0.1458501815795898,0.6628054976463318,0.7041993141174316,101.0,745.0,311.11,0.03402023214019,0.0393984317779541,0.0342528112232685
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,2.968952867377084e-05,1.8535705748945475e-05,0.0037026104982942,0.0031817997805774,0.9997167587280272,0.9998571872711182,197.0,2476.0,2399.57,0.0011803599714767,0.0024763995315879,0.0009631341090425
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0051349070854485,0.0054526198655366,0.058117289096117,0.0604842863976955,0.9534823894500732,0.9595382809638976,197.0,2019.0,1751.11,0.0140434572887089,0.0178593471646308,0.0183796603232622
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0184368044137954,0.0262214317917823,0.1091912910342216,0.1261569261550903,0.8045863509178162,0.7795490026473999,197.0,450.0,352.99,0.0232333263847976,0.0286471415311098,0.023690702393651
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,0.0001539670338388,6.231698353076354e-05,0.0070645553059875,0.0055605280213057,0.9985227584838868,0.9995259642601012,389.0,4237.0,8327.16,0.0008371224103029,0.0023691486567258,0.0027648308314383
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.0002893834316637,0.0010934169404208,0.0133411884307861,0.0227948557585477,0.9972805380821228,0.9920915365219116,389.0,1357.0,2439.79,0.0015409160922798,0.004437553230673,0.0033181719481945
1.0,vqc,reuploading_rivera-ruiz_2,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0063650063239037,0.0187845733016729,0.0653077214956283,0.1007162705063819,0.9406985640525818,0.8445747494697571,389.0,835.0,1392.06,0.003997479827376,0.0223462041467428,0.0100602665916085
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,4.0,1.0,64.0,1.0348926480219234e-05,9.68091444519814e-06,0.0025714763905853,0.002477208385244,0.9999026656150818,0.9999259114265442,149.0,1945.0,1325.57,0.0007611254928633,0.001284860773012,0.0005668173544108
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,4.0,70.0,64.0,0.0240732040256261,0.0187589414417743,0.1195894256234169,0.106636956334114,0.7628083229064941,0.8488304018974304,149.0,1535.0,956.6,0.0232539274212386,0.0265729185193777,0.0290638655424118
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,4.0,140.0,64.0,0.0309382863342762,0.0336182191967964,0.1388098746538162,0.1441453695297241,0.6458569169044495,0.7108399868011475,149.0,869.0,527.27,0.0361392342278526,0.0422508455812931,0.0370133705437183
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,8.0,1.0,64.0,1.4887677934893873e-05,1.0563996511336882e-05,0.0028907512314617,0.0025339084677398,0.9998895525932312,0.9999220371246338,293.0,1869.0,2614.3,0.0002548979275161,0.0006087035289965,0.0004068601119797
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,8.0,70.0,64.0,0.0045082764700055,0.0035664164461195,0.0535794757306575,0.0480699278414249,0.958634078502655,0.9737623929977416,293.0,2014.0,2547.76,0.0114166725219951,0.0153885744512081,0.0151205034926533
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,8.0,140.0,64.0,0.0147313699126243,0.0244153439998626,0.0980092659592628,0.121065154671669,0.8597272038459778,0.7953097224235535,293.0,407.0,479.04,0.0201585832983255,0.0262309517711401,0.0193017143756151
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,16.0,1.0,64.0,9.498451254330575e-05,4.899446867057122e-05,0.005983498878777,0.0050372993573546,0.9991261959075928,0.9996281266212464,581.0,2755.0,8112.92,0.0005604996404144,0.0017208352219313,0.0013788708020001
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,16.0,70.0,64.0,0.0004715369141194,0.0010267535690218,0.0168097093701362,0.0222227126359939,0.995759904384613,0.9924468994140624,581.0,734.0,1961.46,0.0008901774740984,0.0032922502141445,0.001981254434213
1.0,vqc,reuploading_rivera-ruiz_3,mackey_1000,0.0,0.001,4.0,,16.0,140.0,64.0,0.0053396946750581,0.0156311653554439,0.0613279156386852,0.0904093608260154,0.9490900039672852,0.8739551305770874,581.0,669.0,1598.18,0.0022491247073048,0.020134188234806,0.007440426852554
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,4.0,1.0,64.0,3.008041312568821e-05,3.080896567553282e-05,0.0041112964972853,0.004409912507981,0.9997147917747498,0.9997759461402892,79.0,2634.0,1185.6,0.0012556004512589,0.0021528068464249,0.0009652901790104
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,4.0,70.0,64.0,0.0223255679011344,0.0189316868782043,0.1158336549997329,0.1069497838616371,0.7710855603218079,0.8497100472450256,79.0,2767.0,1121.7,0.0249542059997717,0.0262527856975793,0.0299881473183631
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,4.0,140.0,64.0,0.0254524108022451,0.0365846306085586,0.1291237771511078,0.1485933512449264,0.7134097814559937,0.6798720955848694,79.0,1030.0,412.97,0.0384153429832723,0.0450586676597595,0.0364480838179588
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,8.0,1.0,64.0,4.207317761029117e-05,3.869530337397009e-05,0.0045874807983636,0.0047458447515964,0.99959397315979,0.999715268611908,151.0,3215.0,2831.27,0.0018452145857736,0.0045328000560402,0.00179427373223
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,8.0,70.0,64.0,0.0054862117394804,0.0062418435700237,0.0611343830823898,0.0636734738945961,0.9480248093605042,0.9536293745040894,151.0,1909.0,1583.7,0.0174347751049531,0.022645266726613,0.0230025164783
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,8.0,140.0,64.0,0.0159332994371652,0.0242227409034967,0.1030917018651962,0.1241811513900756,0.8360003232955933,0.7971394658088684,151.0,487.0,357.21,0.0245486111380159,0.027408193796873,0.0264297779649496
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,16.0,1.0,64.0,0.0004545655974652,0.0004633326316252,0.0138065731152892,0.0148562043905258,0.995585799217224,0.99647319316864,295.0,1645.0,2938.86,0.0015354304458014,0.005335149820894,0.0054649314843118
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,16.0,70.0,64.0,0.0005914508365094,0.0014947443269193,0.0175900962203741,0.0278521515429019,0.9946088194847108,0.9895713329315186,295.0,3218.0,5284.17,0.0021081082005467,0.0075526596046984,0.0051101287826895
1.0,vqc,reuploading_rivera-ruiz_1,mackey_1000,0.0,0.001,6.0,,16.0,140.0,64.0,0.0058453707024455,0.0151567980647087,0.0636538192629814,0.0924149751663208,0.9436064958572388,0.8797866702079773,295.0,544.0,820.55,0.0057190538791473,0.0180685669183731,0.0134418839588761
